,Date,home,visitor,hgoal,vgoal
57,22/04/2012,Colorado Rapids,Los Angeles Galaxy,1,2
58,22/04/2012,Vancouver Whitecaps,FC Dallas,1,0
59,22/04/2012,Chivas USA,Philadelphia Union,0,1
60,22/04/2012,Portland Timbers,Sporting Kansas City,1,0
61,22/04/2012,San Jose Earthquakes,Real Salt Lake,3,1
62,22/04/2012,DC United,New York Red Bulls,4,1
63,26/04/2012,FC Dallas,Real Salt Lake,1,1
64,28/04/2012,Montreal Impact,Portland Timbers,2,0
65,28/04/2012,New York Red Bulls,New England Revolution,1,0
66,29/04/2012,Philadelphia Union,San Jose Earthquakes,1,2
67,29/04/2012,Columbus Crew,Vancouver Whitecaps,0,1
68,29/04/2012,DC United,Houston Dynamo,3,2
69,29/04/2012,Chicago Fire,Seattle Sounders,1,2
70,29/04/2012,Colorado Rapids,Chivas USA,4,0
71,29/04/2012,Real Salt Lake,Toronto FC,3,2
72,29/04/2012,Los Angeles Galaxy,FC Dallas,1,1
73,03/05/2012,New England Revolution,Colorado Rapids,2,1
74,03/05/2012,Seattle Sounders,Los Angeles Galaxy,2,0
75,03/05/2012,San Jose Earthquakes,DC United,5,3
76,05/05/2012,Chivas USA,Chicago Fire,1,2
77,05/05/2012,Toronto FC,DC United,0,2
78,05/05/2012,Seattle Sounders,Philadelphia Union,1,0
79,06/05/2012,Vancouver Whitecaps,San Jose Earthquakes,2,1
80,06/05/2012,Los Angeles Galaxy,New York Red Bulls,0,1
81,06/05/2012,Sporting Kansas City,Montreal Impact,0,2
82,06/05/2012,Real Salt Lake,New England Revolution,2,1
83,06/05/2012,Portland Timbers,Columbus Crew,0,0
84,07/05/2012,FC Dallas,Colorado Rapids,0,2
85,10/05/2012,New York Red Bulls,Houston Dynamo,1,0
86,10/05/2012,Chicago Fire,Real Salt Lake,0,0
87,10/05/2012,FC Dallas,Seattle Sounders,0,2
88,12/05/2012,Montreal Impact,Los Angeles Galaxy,1,1
89,12/05/2012,Houston Dynamo,DC United,1,0
90,13/05/2012,Columbus Crew,FC Dallas,2,1
91,13/05/2012,New England Revolution,Vancouver Whitecaps,4,1
92,13/05/2012,Chicago Fire,Sporting Kansas City,2,1
93,13/05/2012,Seattle Sounders,Real Salt Lake,0,1
94,13/05/2012,Philadelphia Union,New York Red Bulls,2,3
95,14/05/2012,San Jose Earthquakes,Chivas USA,1,1
96,16/05/2012,Houston Dynamo,Portland Timbers,0,0
97,17/05/2012,DC United,Colorado Rapids,2,0
98,19/05/2012,Vancouver Whitecaps,Seattle Sounders,2,2
99,20/05/2012,DC United,Toronto FC,3,1
100,20/05/2012,Montreal Impact,New York Red Bulls,1,2
101,20/05/2012,New England Revolution,Houston Dynamo,2,2
102,20/05/2012,FC Dallas,Philadelphia Union,1,1
103,20/05/2012,Colorado Rapids,Sporting Kansas City,2,2
104,20/05/2012,Chivas USA,Los Angeles Galaxy,1,0
105,20/05/2012,San Jose Earthquakes,Columbus Crew,1,1
106,21/05/2012,Portland Timbers,Chicago Fire,2,1
107,24/05/2012,New York Red Bulls,Chivas USA,1,1
108,24/05/2012,Chicago Fire,FC Dallas,2,1
109,24/05/2012,Seattle Sounders,Columbus Crew,0,2
110,24/05/2012,Los Angeles Galaxy,San Jose Earthquakes,2,3
111,26/05/2012,Houston Dynamo,Los Angeles Galaxy,2,1
112,26/05/2012,Toronto FC,Philadelphia Union,1,0
113,27/05/2012,Columbus Crew,Chicago Fire,2,1
114,27/05/2012,DC United,New England Revolution,3,2
115,27/05/2012,Colorado Rapids,Montreal Impact,3,2
116,27/05/2012,Real Salt Lake,FC Dallas,3,2
117,27/05/2012,Portland Timbers,Vancouver Whitecaps,1,1
118,27/05/2012,Chivas USA,Seattle Sounders,1,1
119,27/05/2012,Sporting Kansas City,San Jose Earthquakes,2,1
120,03/06/2012,New England Revolution,Chicago Fire,2,0
121,11/06/2012,Vancouver Whitecaps,Houston Dynamo,3,1
122,17/06/2012,Philadelphia Union,DC United,0,1
123,17/06/2012,Vancouver Whitecaps,Colorado Rapids,1,0
124,17/06/2012,Houston Dynamo,FC Dallas,2,1
125,17/06/2012,Montreal Impact,Seattle Sounders,4,1
126,17/06/2012,New England Revolution,Columbus Crew,0,0
127,17/06/2012,Sporting Kansas City,Toronto FC,2,0
128,17/06/2012,Chivas USA,Real Salt Lake,0,3
129,17/06/2012,Chicago Fire,New York Red Bulls,3,1
130,18/06/2012,Los Angeles Galaxy,Portland Timbers,1,0
131,21/06/2012,Houston Dynamo,Toronto FC,3,3
132,21/06/2012,Real Salt Lake,Los Angeles Galaxy,2,3
133,21/06/2012,Colorado Rapids,San Jose Earthquakes,1,2
134,21/06/2012,Seattle Sounders,Sporting Kansas City,1,1
135,21/06/2012,Chivas USA,Montreal Impact,2,1
136,21/06/2012,Vancouver Whitecaps,New York Red Bulls,1,1
137,23/06/2012,Toronto FC,New England Revolution,2,2
138,24/06/2012,Philadelphia Union,Sporting Kansas City,4,0
139,24/06/2012,Montreal Impact,Houston Dynamo,4,2
140,24/06/2012,Chicago Fire,Columbus Crew,2,1
141,24/06/2012,FC Dallas,Chivas USA,0,0
142,24/06/2012,Real Salt Lake,San Jose Earthquakes,1,2
143,24/06/2012,Los Angeles Galaxy,Vancouver Whitecaps,3,0
144,24/06/2012,Portland Timbers,Seattle Sounders,2,1
145,25/06/2012,New York Red Bulls,DC United,3,2
146,28/06/2012,Montreal Impact,Toronto FC,0,3
147,30/06/2012,Sporting Kansas City,Chicago Fire,0,1
148,01/07/2012,Toronto FC,New York Red Bulls,1,1
149,01/07/2012,DC United,Montreal Impact,3,0
150,01/07/2012,New England Revolution,Seattle Sounders,2,2
151,01/07/2012,Houston Dynamo,Philadelphia Union,2,1
152,01/07/2012,Colorado Rapids,Portland Timbers,3,0
153,01/07/2012,Columbus Crew,Real Salt Lake,2,0
154,01/07/2012,San Jose Earthquakes,Los Angeles Galaxy,4,3
155,04/07/2012,Houston Dynamo,Chicago Fire,0,0
156,04/07/2012,Portland Timbers,San Jose Earthquakes,2,1
157,05/07/2012,Montreal Impact,Sporting Kansas City,1,3
158,05/07/2012,FC Dallas,Toronto FC,1,1
159,05/07/2012,Colorado Rapids,Vancouver Whitecaps,0,1
160,05/07/2012,Real Salt Lake,Seattle Sounders,0,0
161,05/07/2012,Los Angeles Galaxy,Philadelphia Union,1,2
162,08/07/2012,Sporting Kansas City,Houston Dynamo,0,0
163,08/07/2012,FC Dallas,San Jose Earthquakes,0,0
164,08/07/2012,Real Salt Lake,Portland Timbers,3,0
165,08/07/2012,Chivas USA,Vancouver Whitecaps,0,0
166,08/07/2012,Seattle Sounders,Colorado Rapids,2,1
167,08/07/2012,Chicago Fire,Los Angeles Galaxy,0,2
168,08/07/2012,Philadelphia Union,Toronto FC,3,0
169,09/07/2012,New England Revolution,New York Red Bulls,2,0
170,09/07/2012,Montreal Impact,Columbus Crew,2,1
171,12/07/2012,Toronto FC,Vancouver Whitecaps,3,2
172,15/07/2012,Philadelphia Union,Montreal Impact,2,1
173,15/07/2012,Columbus Crew,Sporting Kansas City,0,2
174,15/07/2012,New England Revolution,Toronto FC,0,1
175,15/07/2012,Chicago Fire,Vancouver Whitecaps,1,0
176,15/07/2012,Colorado Rapids,FC Dallas,1,2
177,15/07/2012,San Jose Earthquakes,Real Salt Lake,5,0
178,15/07/2012,Portland Timbers,Los Angeles Galaxy,3,5
179,15/07/2012,New York Red Bulls,Seattle Sounders,2,2
180,16/07/2012,Houston Dynamo,DC United,4,0
181,18/07/2012,New York Red Bulls,Chicago Fire,1,0
182,18/07/2012,Chivas USA,Portland Timbers,1,0
183,19/07/2012,Toronto FC,Colorado Rapids,2,1
184,19/07/2012,Montreal Impact,New England Revolution,2,1
185,19/07/2012,Houston Dynamo,Sporting Kansas City,2,1
186,19/07/2012,Vancouver Whitecaps,Los Angeles Galaxy,2,2
187,19/07/2012,San Jose Earthquakes,FC Dallas,2,1
188,21/07/2012,New York Red Bulls,Philadelphia Union,2,0
189,22/07/2012,Columbus Crew,DC United,1,0
190,22/07/2012,Houston Dynamo,Montreal Impact,3,0
191,22/07/2012,Sporting Kansas City,New England Revolution,0,0
192,22/07/2012,FC Dallas,Portland Timbers,5,0
193,22/07/2012,Los Angeles Galaxy,Chivas USA,3,1
194,22/07/2012,Real Salt Lake,Colorado Rapids,2,0
195,23/07/2012,Vancouver Whitecaps,San Jose Earthquakes,2,1
196,28/07/2012,Real Salt Lake,Vancouver Whitecaps,2,1
197,28/07/2012,Toronto FC,Houston Dynamo,0,2
198,29/07/2012,Montreal Impact,New York Red Bulls,3,1
199,29/07/2012,FC Dallas,Los Angeles Galaxy,0,1
200,29/07/2012,Sporting Kansas City,Columbus Crew,1,2
201,29/07/2012,Colorado Rapids,Seattle Sounders,1,2
202,29/07/2012,San Jose Earthquakes,Chicago Fire,1,1
203,29/07/2012,Portland Timbers,Chivas USA,0,1
204,30/07/2012,Philadelphia Union,New England Revolution,2,1
205,04/08/2012,Houston Dynamo,New York Red Bulls,2,0
206,05/08/2012,DC United,Columbus Crew,1,0
207,05/08/2012,Montreal Impact,Philadelphia Union,2,0
208,05/08/2012,New England Revolution,Sporting Kansas City,0,1
209,05/08/2012,Chicago Fire,Toronto FC,2,1
210,05/08/2012,Colorado Rapids,Real Salt Lake,1,0
211,06/08/2012,Portland Timbers,FC Dallas,1,1
212,06/08/2012,Seattle Sounders,Los Angeles Galaxy,4,0
213,11/08/2012,New York Red Bulls,Houston Dynamo,2,0
214,12/08/2012,Vancouver Whitecaps,Real Salt Lake,2,1
215,12/08/2012,Sporting Kansas City,DC United,2,1
216,12/08/2012,FC Dallas,Colorado Rapids,3,2
217,12/08/2012,San Jose Earthquakes,Seattle Sounders,2,1
218,13/08/2012,New England Revolution,Montreal Impact,0,1
219,13/08/2012,Philadelphia Union,Chicago Fire,1,3
220,13/08/2012,Chivas USA,Los Angeles Galaxy,0,4
221,16/08/2012,Columbus Crew,Los Angeles Galaxy,1,1
222,16/08/2012,Toronto FC,Portland Timbers,2,2
223,16/08/2012,Vancouver Whitecaps,FC Dallas,0,2
224,18/08/2012,Seattle Sounders,Vancouver Whitecaps,2,0
225,18/08/2012,Toronto FC,Sporting Kansas City,0,1
226,19/08/2012,Montreal Impact,San Jose Earthquakes,3,1
227,19/08/2012,Chicago Fire,New England Revolution,2,1
228,19/08/2012,Colorado Rapids,Chivas USA,1,1
229,19/08/2012,Real Salt Lake,FC Dallas,1,2
230,19/08/2012,DC United,Philadelphia Union,1,1
231,20/08/2012,New York Red Bulls,Portland Timbers,3,2
232,20/08/2012,Houston Dynamo,Columbus Crew,2,2
233,23/08/2012,Columbus Crew,Toronto FC,2,1
234,23/08/2012,DC United,Chicago Fire,4,2
235,25/08/2012,Philadelphia Union,Real Salt Lake,0,0
236,25/08/2012,Montreal Impact,DC United,3,0
237,26/08/2012,Columbus Crew,New England Revolution,4,3
238,26/08/2012,Houston Dynamo,Toronto FC,1,1
239,26/08/2012,Chivas USA,Seattle Sounders,2,6
240,26/08/2012,Portland Timbers,Vancouver Whitecaps,2,1
241,26/08/2012,San Jose Earthquakes,Colorado Rapids,4,1
242,27/08/2012,Los Angeles Galaxy,FC Dallas,2,0
243,27/08/2012,Sporting Kansas City,New York Red Bulls,1,1
244,30/08/2012,DC United,New York Red Bulls,2,2
245,30/08/2012,New England Revolution,Chivas USA,3,3
246,30/08/2012,Philadelphia Union,Columbus Crew,1,2
247,01/09/2012,Portland Timbers,Colorado Rapids,1,0
248,02/09/2012,Columbus Crew,Montreal Impact,2,1
249,02/09/2012,New England Revolution,Philadelphia Union,0,0
250,02/09/2012,Sporting Kansas City,Toronto FC,2,1
251,02/09/2012,Real Salt Lake,DC United,1,0
252,02/09/2012,Los Angeles Galaxy,Vancouver Whitecaps,2,0
253,03/09/2012,Chicago Fire,Houston Dynamo,3,1
254,03/09/2012,FC Dallas,Seattle Sounders,1,1
255,03/09/2012,San Jose Earthquakes,Chivas USA,4,0
256,06/09/2012,New England Revolution,Columbus Crew,2,0
257,06/09/2012,Colorado Rapids,Portland Timbers,3,0
258,07/09/2012,Houston Dynamo,Real Salt Lake,1,0
259,08/09/2012,Seattle Sounders,Chivas USA,2,1
260,13/09/2012,Toronto FC,Chicago Fire,1,2
261,15/09/2012,Sporting Kansas City,Houston Dynamo,1,1
262,15/09/2012,Los Angeles Galaxy,Colorado Rapids,2,0
263,15/09/2012,Toronto FC,Philadelphia Union,1,1
264,15/09/2012,Portland Timbers,Seattle Sounders,1,1
265,16/09/2012,New York Red Bulls,Columbus Crew,3,1
266,16/09/2012,DC United,New England Revolution,2,1
267,16/09/2012,Chicago Fire,Montreal Impact,3,1
268,16/09/2012,FC Dallas,Vancouver Whitecaps,1,0
269,16/09/2012,Chivas USA,San Jose Earthquakes,0,2
270,20/09/2012,New York Red Bulls,Sporting Kansas City,0,2
271,20/09/2012,Columbus Crew,Chivas USA,1,0
272,20/09/2012,San Jose Earthquakes,Portland Timbers,2,2
273,21/09/2012,Philadelphia Union,DC United,0,1
274,22/09/2012,Montreal Impact,Sporting Kansas City,0,0
275,23/09/2012,New England Revolution,New York Red Bulls,1,1
276,23/09/2012,Real Salt Lake,Portland Timbers,2,1
277,23/09/2012,Chicago Fire,Columbus Crew,2,1
278,23/09/2012,Los Angeles Galaxy,Toronto FC,4,2
279,23/09/2012,Seattle Sounders,San Jose Earthquakes,1,2
280,23/09/2012,Philadelphia Union,Houston Dynamo,3,1
281,24/09/2012,DC United,Chivas USA,1,0
282,24/09/2012,Vancouver Whitecaps,Colorado Rapids,2,2
283,29/09/2012,Sporting Kansas City,Chicago Fire,2,0
284,30/09/2012,New York Red Bulls,Toronto FC,4,1
285,30/09/2012,Columbus Crew,Philadelphia Union,3,2
286,30/09/2012,Houston Dynamo,New England Revolution,2,0
287,30/09/2012,Vancouver Whitecaps,Seattle Sounders,0,0
288,30/09/2012,Chivas USA,Real Salt Lake,0,4
289,30/09/2012,Portland Timbers,DC United,1,1
290,30/09/2012,San Jose Earthquakes,FC Dallas,3,3
291,01/10/2012,Colorado Rapids,Los Angeles Galaxy,1,1
292,04/10/2012,Chicago Fire,Philadelphia Union,1,3
293,04/10/2012,Vancouver Whitecaps,Chivas USA,4,0
294,06/10/2012,Toronto FC,DC United,0,1
295,06/10/2012,New York Red Bulls,Chicago Fire,0,2
296,07/10/2012,Philadelphia Union,New England Revolution,1,0
297,07/10/2012,Houston Dynamo,Montreal Impact,1,1
298,07/10/2012,Colorado Rapids,San Jose Earthquakes,1,4
299,07/10/2012,Los Angeles Galaxy,Real Salt Lake,1,2
300,07/10/2012,Columbus Crew,Sporting Kansas City,1,1
301,08/10/2012,Chivas USA,FC Dallas,1,1
302,08/10/2012,Seattle Sounders,Portland Timbers,3,0
303,18/10/2012,Seattle Sounders,Real Salt Lake,0,0
304,20/10/2012,Toronto FC,Montreal Impact,0,0
305,21/10/2012,New York Red Bulls,Sporting Kansas City,0,0
306,21/10/2012,DC United,Columbus Crew,3,2
307,21/10/2012,New England Revolution,Chicago Fire,1,0
308,21/10/2012,Houston Dynamo,Philadelphia Union,3,1
309,21/10/2012,Chivas USA,Colorado Rapids,0,2
310,22/10/2012,San Jose Earthquakes,Los Angeles Galaxy,2,2
311,22/10/2012,Vancouver Whitecaps,Portland Timbers,0,1
312,22/10/2012,Seattle Sounders,FC Dallas,3,1
313,25/10/2012,Sporting Kansas City,Philadelphia Union,2,1
314,27/10/2012,Philadelphia Union,New York Red Bulls,0,3
315,27/10/2012,Montreal Impact,New England Revolution,0,1
316,27/10/2012,Chicago Fire,DC United,1,1
317,27/10/2012,Portland Timbers,San Jose Earthquakes,1,1
318,28/10/2012,Colorado Rapids,Houston Dynamo,2,0
319,28/10/2012,Real Salt Lake,Vancouver Whitecaps,0,0
320,28/10/2012,Columbus Crew,Toronto FC,2,1
321,28/10/2012,FC Dallas,Chivas USA,2,2
322,29/10/2012,Los Angeles Galaxy,Seattle Sounders,1,0
323,01/11/2012,Chicago Fire,Houston Dynamo,1,2
324,02/11/2012,Los Angeles Galaxy,Vancouver Whitecaps,2,1
325,03/11/2012,Seattle Sounders,Real Salt Lake,0,0
326,04/11/2012,DC United,New York Red Bulls,1,1
327,04/11/2012,Houston Dynamo,Sporting Kansas City,2,0
328,05/11/2012,Los Angeles Galaxy,San Jose Earthquakes,0,1
329,08/11/2012,Sporting Kansas City,Houston Dynamo,1,0
330,08/11/2012,San Jose Earthquakes,Los Angeles Galaxy,1,3
331,09/11/2012,New York Red Bulls,DC United,0,1
332,09/11/2012,Real Salt Lake,Seattle Sounders,0,1
333,11/11/2012,Houston Dynamo,DC United,3,1
334,12/11/2012,Los Angeles Galaxy,Seattle Sounders,3,0
335,18/11/2012,DC United,Houston Dynamo,1,1
336,19/11/2012,Seattle Sounders,Los Angeles Galaxy,2,1
337,01/12/2012,Los Angeles Galaxy,Houston Dynamo,3,1
338,02/03/2013,Philadelphia Union,Sporting Kansas City,1,3
339,02/03/2013,Vancouver Whitecaps,Toronto FC,1,0
340,03/03/2013,Houston Dynamo,DC United,2,0
341,03/03/2013,FC Dallas,Colorado Rapids,1,0
342,03/03/2013,Chivas USA,Columbus Crew,0,3
343,03/03/2013,Seattle Sounders,Montreal Impact,0,1
344,03/03/2013,Los Angeles Galaxy,Chicago Fire,4,0
345,04/03/2013,Portland Timbers,New York Red Bulls,3,3
346,04/03/2013,San Jose Earthquakes,Real Salt Lake,0,2
347,09/03/2013,Toronto FC,Sporting Kansas City,2,1
348,10/03/2013,DC United,Real Salt Lake,1,0
349,10/03/2013,Chicago Fire,New England Revolution,0,1
350,10/03/2013,Vancouver Whitecaps,Columbus Crew,2,1
351,10/03/2013,Portland Timbers,Montreal Impact,1,2
352,10/03/2013,Colorado Rapids,Philadelphia Union,1,2
353,10/03/2013,Chivas USA,FC Dallas,3,1
354,11/03/2013,San Jose Earthquakes,New York Red Bulls,2,1
355,16/03/2013,New York Red Bulls,DC United,0,0
356,16/03/2013,Sporting Kansas City,Chicago Fire,0,0
357,16/03/2013,Montreal Impact,Toronto FC,2,1
358,16/03/2013,Philadelphia Union,New England Revolution,1,0
359,16/03/2013,Columbus Crew,San Jose Earthquakes,1,1
360,16/03/2013,Real Salt Lake,Colorado Rapids,1,1
361,17/03/2013,Seattle Sounders,Portland Timbers,1,1
362,17/03/2013,FC Dallas,Houston Dynamo,3,2
363,17/03/2013,Los Angeles Galaxy,Chivas USA,1,1
364,23/03/2013,DC United,Columbus Crew,1,2
365,23/03/2013,New England Revolution,Sporting Kansas City,0,0
366,23/03/2013,Montreal Impact,New York Red Bulls,1,0
367,24/03/2013,FC Dallas,Real Salt Lake,2,0
368,24/03/2013,Houston Dynamo,Vancouver Whitecaps,2,1
369,24/03/2013,Los Angeles Galaxy,Colorado Rapids,1,0
370,24/03/2013,San Jose Earthquakes,Seattle Sounders,1,0
371,24/03/2013,Chicago Fire,Chivas USA,1,4
372,30/03/2013,Toronto FC,Los Angeles Galaxy,2,2
373,30/03/2013,New York Red Bulls,Philadelphia Union,2,1
374,30/03/2013,New England Revolution,FC Dallas,0,1
375,30/03/2013,Colorado Rapids,Portland Timbers,2,2
376,31/03/2013,Houston Dynamo,San Jose Earthquakes,2,0
377,31/03/2013,Sporting Kansas City,Montreal Impact,2,0
378,31/03/2013,Real Salt Lake,Seattle Sounders,2,1
379,31/03/2013,Chivas USA,Vancouver Whitecaps,2,1
380,06/04/2013,Sporting Kansas City,DC United,1,0
381,06/04/2013,Toronto FC,FC Dallas,2,2
382,06/04/2013,Columbus Crew,Philadelphia Union,1,1
383,07/04/2013,Colorado Rapids,Real Salt Lake,1,0
384,07/04/2013,Portland Timbers,Houston Dynamo,2,0
385,07/04/2013,San Jose Earthquakes,Vancouver Whitecaps,1,1
386,07/04/2013,Chicago Fire,New York Red Bulls,3,1
387,13/04/2013,Philadelphia Union,Toronto FC,1,1
388,13/04/2013,Seattle Sounders,New England Revolution,0,0
389,13/04/2013,Vancouver Whitecaps,Real Salt Lake,1,1
390,14/04/2013,DC United,New York Red Bulls,0,2
391,14/04/2013,FC Dallas,Los Angeles Galaxy,1,0
392,14/04/2013,Chivas USA,Colorado Rapids,0,1
393,14/04/2013,Montreal Impact,Columbus Crew,1,1
394,14/04/2013,Houston Dynamo,Chicago Fire,2,1
395,15/04/2013,Portland Timbers,San Jose Earthquakes,1,0
396,18/04/2013,New York Red Bulls,Sporting Kansas City,0,1
397,20/04/2013,Toronto FC,Houston Dynamo,1,1
398,20/04/2013,Colorado Rapids,Seattle Sounders,0,1
399,21/04/2013,New York Red Bulls,New England Revolution,4,1
400,21/04/2013,Chicago Fire,Columbus Crew,1,0
401,21/04/2013,FC Dallas,Vancouver Whitecaps,2,0
402,21/04/2013,Real Salt Lake,Chivas USA,1,0
403,21/04/2013,Los Angeles Galaxy,Sporting Kansas City,2,0
404,21/04/2013,DC United,Philadelphia Union,2,3
405,22/04/2013,San Jose Earthquakes,Portland Timbers,1,1
406,27/04/2013,Toronto FC,New York Red Bulls,1,2
407,27/04/2013,Montreal Impact,Chicago Fire,2,0
408,27/04/2013,Vancouver Whitecaps,FC Dallas,2,2
409,28/04/2013,Columbus Crew,DC United,3,0
410,28/04/2013,New England Revolution,Philadelphia Union,2,0
411,28/04/2013,Sporting Kansas City,Portland Timbers,2,3
412,28/04/2013,Real Salt Lake,Los Angeles Galaxy,0,2
413,28/04/2013,Chivas USA,San Jose Earthquakes,2,2
414,28/04/2013,Houston Dynamo,Colorado Rapids,1,1
415,03/05/2013,Portland Timbers,New England Revolution,0,0
416,04/05/2013,Columbus Crew,New York Red Bulls,0,1
417,04/05/2013,Philadelphia Union,Seattle Sounders,2,2
418,04/05/2013,San Jose Earthquakes,Montreal Impact,2,2
419,05/05/2013,Colorado Rapids,Toronto FC,1,0
420,05/05/2013,Real Salt Lake,Vancouver Whitecaps,2,0
421,05/05/2013,Sporting Kansas City,Chivas USA,4,0
422,06/05/2013,Los Angeles Galaxy,Houston Dynamo,0,1
423,09/05/2013,DC United,Houston Dynamo,0,4
424,09/05/2013,New York Red Bulls,Montreal Impact,2,1
425,09/05/2013,New England Revolution,Real Salt Lake,1,2
426,09/05/2013,Sporting Kansas City,Seattle Sounders,0,1
427,09/05/2013,FC Dallas,Portland Timbers,1,1
428,09/05/2013,San Jose Earthquakes,Toronto FC,2,1
429,11/05/2013,Chicago Fire,Philadelphia Union,0,1
430,11/05/2013,Montreal Impact,Real Salt Lake,3,2
431,11/05/2013,Seattle Sounders,San Jose Earthquakes,4,0
432,12/05/2013,Vancouver Whitecaps,Los Angeles Galaxy,3,1
433,12/05/2013,Columbus Crew,Colorado Rapids,0,2
434,12/05/2013,New England Revolution,New York Red Bulls,1,1
435,12/05/2013,FC Dallas,DC United,2,1
436,12/05/2013,Portland Timbers,Chivas USA,3,0
437,13/05/2013,Houston Dynamo,Sporting Kansas City,0,1
438,16/05/2013,Philadelphia Union,Los Angeles Galaxy,1,4
439,18/05/2013,Toronto FC,Columbus Crew,0,1
440,19/05/2013,Vancouver Whitecaps,Portland Timbers,2,2
441,19/05/2013,Philadelphia Union,Chicago Fire,1,0
442,19/05/2013,Houston Dynamo,New England Revolution,0,2
443,19/05/2013,San Jose Earthquakes,Colorado Rapids,1,1
444,19/05/2013,Seattle Sounders,FC Dallas,4,2
445,19/05/2013,New York Red Bulls,Los Angeles Galaxy,1,0
446,19/05/2013,DC United,Sporting Kansas City,1,1
447,20/05/2013,Chivas USA,Real Salt Lake,1,4
448,26/05/2013,DC United,Portland Timbers,0,2
449,26/05/2013,Montreal Impact,Philadelphia Union,5,3
450,26/05/2013,New England Revolution,Toronto FC,2,0
451,26/05/2013,FC Dallas,San Jose Earthquakes,1,0
452,26/05/2013,Colorado Rapids,Chivas USA,2,0
453,26/05/2013,Real Salt Lake,Chicago Fire,1,1
454,26/05/2013,Sporting Kansas City,Houston Dynamo,1,1
455,26/05/2013,New York Red Bulls,Columbus Crew,2,2
456,27/05/2013,Los Angeles Galaxy,Seattle Sounders,4,0
457,01/06/2013,Toronto FC,Philadelphia Union,1,1
458,02/06/2013,New York Red Bulls,Vancouver Whitecaps,1,2
459,02/06/2013,Columbus Crew,Houston Dynamo,1,1
460,02/06/2013,Sporting Kansas City,Montreal Impact,1,2
461,02/06/2013,Colorado Rapids,FC Dallas,2,2
